sku,row_index,name_zh,dimensions_raw,dimensions_length,dimensions_width,dimensions_height,dimensions_unit_guess,dimensions_kind,price_cny,notes
AWP001,1,滴灌系统,550*150*200,550.0,150.0,200.0,,lwh,10500.0,
AWP002,2,戏水组合1,315*335*134,315.0,335.0,134.0,,lwh,10200.0,
AWP003,3,戏水组合2,380×260×110,380.0,260.0,110.0,,lwh,9200.0,
AWP004,4,戏水组合3,445*120*134,445.0,120.0,134.0,,lwh,8100.0,
AWP005,5,戏水组合4,450*350*120,450.0,350.0,120.0,,lwh,9800.0,
AWP006,6,戏水组合5,400*150*120,400.0,150.0,120.0,,lwh,5400.0,
AWP007,7,水轮组合6,260*200*120,260.0,200.0,120.0,,lwh,8200.0,
AWP008,8,水轮组合7,240*100cm,240.0,,100.0,cm,two-dim,8000.0,
AWP009,9,手摇取水组合,200*140*140,200.0,140.0,140.0,,lwh,6200.0,
AWP010,10,旋涡水车组合,2000*1100*1250,2000.0,1100.0,1250.0,,lwh,6700.0,
AWP011,11,手摇水车取水组合,350*100*100cm,350.0,100.0,100.0,cm,lwh,6700.0,
AWP012,12,手摇水车碗,75×65×70,75.0,65.0,70.0,,lwh,1800.0,
AWP013,13,手磨推车,定制,,,,,custom,6800.0,
AWP014,14,取水器,90*60*70cm,90.0,60.0,70.0,cm,lwh,3600.0,
AWP015,15,取水器,90*60*80cm,90.0,60.0,80.0,cm,lwh,4200.0,
AWP016,16,旋涡取水器,120*120*110cm,120.0,120.0,110.0,cm,lwh,5800.0,
AWP017,17,手摇取水,定制,,,,,custom,560.0,
AWP018,18,圆弧通道喷水,直径220cm,220.0,,,cm,diameter,2000.0,
AWP019,19,自行车喷水,120*40*125,120.0,40.0,125.0,,lwh,6000.0,
AWP020,20,挖沙机,142×32×92,142.0,32.0,92.0,,lwh,2200.0,
AWP021,21,压水井,95 ×45×95,95.0,45.0,95.0,,lwh,1800.0,
AWP022,22,压水井 （新款）,95 ×45×95,95.0,45.0,95.0,,lwh,2000.0,
AWP023,23,助力抽水器,95×36×95,95.0,36.0,95.0,,lwh,2000.0,
AWP024,24,方向盘抽水器(老款）,95 ×45×95,95.0,45.0,95.0,,lwh,2000.0,
AWP025,25,方向盘抽水器,95×36×95,95.0,36.0,95.0,,lwh,2000.0,
AWP026,26,蘑菇头压水器,65×50×65,65.0,50.0,65.0,,lwh,2500.0,
AWP027,27,儿童压水枪,85×45×85,85.0,45.0,85.0,,lwh,3000.0,
AWP028,28,加特林水枪,760*500*1150,760.0,500.0,1150.0,,lwh,3500.0,
AWP029,29,水车碗,65×55×65,65.0,55.0,65.0,,lwh,1800.0,
AWP030,30,旋转小水车 分离,nan,,,,,unknown,1800.0,
AWP031,31,水闸,宽650* 100* 550,650.0,100.0,550.0,,lwh,1800.0,
AWP032,32,水闸,80×4×65,80.0,4.0,65.0,,lwh,1800.0,
AWP033,33,阿基米德取水器,长度2000,2000.0,,,,length,5000.0,
AWP034,34,月亮自行车,直径200×70×225,200.0,70.0,225.0,,lwh,16700.0,
