code,name,first_time_priced,qty,fob_usd,usd_thb,cif_thb,duty_thb,vat_thb_7pct,landed_thb,retail_thb,retail_usd,retail_sgd,stored_retail_sgd,reconciled,line_total_sgd,r2_heuristic_sgd_fob_x4.44,r2_line_total_sgd
HW1-S747,Outdoor Storage House A,,4.0,425.78,33.202,14136.75,0.0,989.57,15126.32,32370.32,911.17,1163.25,1163.25,OK,4653.0,1891.68,7566.73
DDJM-JQ01-V01,Outdoor Holey Stacking Block Set-Jumbo Version,YES,1.0,1741.91,33.202,57834.9,0.0,4048.44,61883.34,132430.35,3727.69,4758.96,4758.96,OK,4758.96,7739.07,7739.07
DDGT-BZ,Holey Block Motor Skills Set-Standard Version,YES,1.0,329.21,33.202,10930.43,0.0,765.13,11695.56,25028.5,704.51,899.41,899.41,OK,899.41,1462.64,1462.64
DDHD-BZ,Holey Block Motor Skills Set-Standard Version,YES,1.0,496.24,33.202,16476.16,0.0,1153.33,17629.49,37727.11,1061.95,1355.74,1355.74,OK,1355.74,2204.73,2204.73
GP2-TC015-V02-06,Power Tricycle-Yellow,,5.0,66.99,33.202,2224.2,0.0,155.69,2379.89,5092.96,143.36,183.02,183.02,OK,915.1,297.63,1488.14
GP2-TC013-V02-06,Power Trike-Yellow,,5.0,63.51,33.202,2108.66,0.0,147.61,2256.27,4828.42,135.91,173.51,173.51,OK,867.55,282.17,1410.83
GP2-TC007-V02-06,Two-wheeled Power Scooter-Yellow,,5.0,60.49,33.202,2008.39,0.0,140.59,2148.98,4598.82,129.45,165.26,165.26,OK,826.3,268.75,1343.74
GP2-TC014-V01-06,Power Slide Car-Yellow,,5.0,59.72,33.202,1982.82,0.0,138.8,2121.62,4540.27,127.8,163.16,163.16,OK,815.8,265.33,1326.64
GP2-TC018-05,Scooter & Slide Bike Stand - Red,,5.0,21.53,33.202,714.84,0.0,50.04,764.88,1636.84,46.07,58.82,58.82,OK,294.1,95.65,478.27
HW1-S292,Activity Range-4 Square Set,,1.0,5857.72,33.202,194488.02,0.0,13614.16,208102.18,445338.67,12535.52,16003.49,16003.49,OK,16003.49,26025.06,26025.06
HW1-S023-V06,Nature's Elements Outdoor Teepee,,1.0,470.78,33.202,15630.84,0.0,1094.16,16725.0,35791.5,1007.47,1286.19,1286.19,OK,1286.19,2091.61,2091.61
HW1-S020-V03,Nature's Elements Outdoor Play House,,1.0,745.82,33.202,24762.72,0.0,1733.39,26496.11,56701.68,1596.06,2037.61,2037.61,OK,2037.61,3313.58,3313.58
HW1-S256-V01,Little Farm-Square Set,,1.0,360.38,33.202,11965.34,0.0,837.57,12802.91,27398.23,771.21,984.57,984.57,OK,984.57,1601.12,1601.12
HW1-S029,Nature's Elements Outdoor Chalkboard Easel-Planting Set,,1.0,175.13,33.202,5814.67,0.0,407.03,6221.7,13314.44,374.78,478.46,478.46,OK,478.46,778.08,778.08
HW1-S031,Nature's Elements Outdoor Transparent Easel-Planting Set,,1.0,134.98,33.202,4481.61,0.0,313.71,4795.32,10261.98,288.86,368.77,368.77,OK,368.77,599.7,599.7
HW1-S367-V01,Vision Wallboard Set-Lines,,1.0,483.64,33.202,16057.82,0.0,1124.05,17181.87,36769.2,1034.99,1321.32,1321.32,OK,1321.32,2148.75,2148.75
HW1-S270-V02,Music Wallboard Set-Lines,,1.0,759.38,33.202,25212.93,0.0,1764.91,26977.84,57732.58,1625.07,2074.65,2074.65,OK,2074.65,3373.82,3373.82
HW5-SD001-V01,Nature's Elements Outdoor Rectangular Stool,,8.0,72.3,33.202,2400.5,0.0,168.04,2568.54,5496.68,154.72,197.53,197.53,OK,1580.24,321.22,2569.75
HW1-S281-V02,Sand Delivery Play,,1.0,453.84,33.202,15068.4,0.0,1054.79,16123.19,34503.63,971.22,1239.91,1239.91,OK,1239.91,2016.35,2016.35
HW1-S484,Wallboard-Sand Play,,1.0,265.41,33.202,8812.14,0.0,616.85,9428.99,20178.04,567.98,725.11,725.11,OK,725.11,1179.18,1179.18
HW1-S062,Wallboard-Halfpipe Sand Channel,,1.0,332.47,33.202,11038.67,0.0,772.71,11811.38,25276.35,711.49,908.32,908.32,OK,908.32,1477.12,1477.12
HW1-S070,Wallboard-Hosepipe,,1.0,306.35,33.202,10171.43,0.0,712.0,10883.43,23290.54,655.59,836.96,836.96,OK,836.96,1361.07,1361.07
HW1-S064,Wallboard-Sand Channel,,1.0,391.29,33.202,12991.61,0.0,909.41,13901.02,29748.18,837.36,1069.02,1069.02,OK,1069.02,1738.45,1738.45
HW1-S071,Water Channel-Knob,,1.0,391.38,33.202,12994.6,0.0,909.62,13904.22,29755.03,837.55,1069.26,1069.26,OK,1069.26,1738.85,1738.85
HW1-S066,Wallboard-Sand Play,,1.0,293.5,33.202,9744.79,0.0,682.14,10426.93,22313.63,628.09,801.85,801.85,OK,801.85,1303.98,1303.98
CSS-QB-BZ,Wallboard Standard Package,YES,17.0,472.21,33.202,15678.32,0.0,1097.48,16775.8,35900.21,1010.53,1290.09,1290.09,OK,21931.53,2097.97,35665.42
CSS-DMGD-BZ-V01,Ground Tubes & Connector Standard Package,YES,17.0,189.36,33.202,6287.13,0.0,440.1,6727.23,14396.27,405.23,517.34,517.34,OK,8794.78,841.3,14302.12
CSS-CBZJ-BZ,Castle Support Standard Package,YES,17.0,49.78,33.202,1652.8,0.0,115.7,1768.5,3784.59,106.53,136.0,136.0,OK,2312.0,221.17,3759.82
CSS-QBWJ-BZ,Wallboard Toys Standard Package,YES,17.0,123.32,33.202,4094.47,0.0,286.61,4381.08,9375.51,263.9,336.91,336.91,OK,5727.47,547.89,9314.2
HW1-S035,Messy Tables & Water Cascade Table,,17.0,450.0,33.202,14940.9,0.0,1045.86,15986.76,34211.67,963.0,1229.42,1229.42,OK,20900.14,1999.29,33987.92
HW4-SZ006-V02,Nature's Elements Outdoor Workbench,,17.0,186.69,33.202,6198.48,0.0,433.89,6632.37,14193.27,399.52,510.04,510.04,OK,8670.68,829.44,14100.46
HW1-S016-V03,Nature's Elements Outdoor Kitchen Set,,17.0,225.64,33.202,7491.7,0.0,524.42,8016.12,17154.5,482.87,616.46,616.46,OK,10479.82,1002.49,17042.3
HW1-S202,Castle Storage(L),,17.0,419.6,33.202,13931.56,0.0,975.21,14906.77,31900.49,897.94,1146.36,1146.36,OK,19488.12,1864.23,31691.85
HW1-S203,Castle Storage®,,17.0,419.6,33.202,13931.56,0.0,975.21,14906.77,31900.49,897.94,1146.36,1146.36,OK,19488.12,1864.23,31691.85
HW1-S201,Castle Storage B,,17.0,444.37,33.202,14753.97,0.0,1032.78,15786.75,33783.65,950.95,1214.03,1214.03,OK,20638.51,1974.28,33562.7
HW1-S200,Castle Storage A,,17.0,454.04,33.202,15075.04,0.0,1055.25,16130.29,34518.82,971.65,1240.45,1240.45,OK,21087.65,2017.24,34293.06
